,Season,Week_No,Team,Name,Nationality,Age,Minutes,Venue,Opponent,Result,shots_on_target_against,goals_against_gk,saves,save_pct,psxg_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,avg_distance_def_actions_gk
0,2019-2020,1,Bayern Munich,Manuel Neuer,GER,33,90.0,Home,Hertha BSC,Draw,3,2,1,33.3,1.1,2,5,40.0,23,7,21.7,29.9,6,0.0,24.5,7,1,14.3,1,17.0
1,2019-2020,1,Hertha BSC,Rune Jarstein,NOR,34,90.0,Away,Bayern Munich,Draw,6,2,5,83.3,1.8,11,25,44.0,29,7,65.5,51.6,7,85.7,60.7,19,1,5.3,1,10.5
2,2019-2020,1,Freiburg,Alexander Schwolow,GER,27,90.0,Home,Mainz 05,Win,5,0,5,100.0,0.4,7,14,50.0,34,10,26.5,30.7,9,55.6,51.0,5,1,20.0,3,16.5
3,2019-2020,1,Mainz 05,Florian Müller,GER,21,90.0,Away,Freiburg,Defeat,7,3,5,71.4,2.3,9,22,40.9,23,5,52.2,45.7,14,71.4,54.9,12,0,0.0,0,9.5
4,2019-2020,1,Dortmund,Marwin Hitz,SUI,31,90.0,Home,Augsburg,Win,1,1,0,0.0,0.8,0,0,,15,1,0.0,20.5,4,0.0,13.5,5,0,0.0,2,24.5
5,2019-2020,1,Augsburg,Tomáš Koubek,CZE,26,90.0,Away,Dortmund,Defeat,9,5,4,44.4,3.9,10,17,58.8,15,2,66.7,39.4,16,43.8,45.3,10,0,0.0,0,12.8
6,2019-2020,1,Bayer Leverkusen,Lukáš Hrádecký,FIN,29,90.0,Home,Paderborn 07,Win,5,2,3,60.0,1.3,7,16,43.8,51,4,27.5,31.0,7,28.6,35.3,5,0,0.0,1,18.8
7,2019-2020,1,Paderborn 07,Jannik Huth,GER,25,90.0,Away,Bayer Leverkusen,Defeat,4,3,1,25.0,3.1,3,17,17.6,21,4,57.1,41.0,9,55.6,42.3,9,0,0.0,0,10.7
8,2019-2020,1,Werder Bremen,Jiří Pavlenka,CZE,27,90.0,Home,Düsseldorf,Defeat,7,3,4,57.1,2.0,3,4,75.0,12,4,25.0,29.8,8,12.5,23.4,8,0,0.0,0,15.8
9,2019-2020,1,Düsseldorf,Zack Steffen,USA,24,90.0,Away,Werder Bremen,Win,10,1,9,90.0,1.8,10,22,45.5,29,7,55.2,47.9,7,85.7,69.0,11,1,9.1,0,6.4
10,2019-2020,1,Wolfsburg,Koen Casteels,BEL,27,90.0,Home,Köln,Win,2,1,1,50.0,0.7,9,23,39.1,37,7,48.6,40.5,7,71.4,61.0,12,3,25.0,0,12.5
11,2019-2020,1,Köln,Timo Horn,GER,26,90.0,Away,Wolfsburg,Defeat,5,2,3,60.0,1.0,12,20,60.0,34,11,52.9,41.3,5,40.0,31.4,6,0,0.0,1,14.2
12,2019-2020,1,Mönchengladbach,Yann Sommer,SUI,30,90.0,Home,Schalke 04,Draw,1,0,1,100.0,0.3,0,4,0.0,48,7,6.3,26.4,6,16.7,23.8,4,1,25.0,1,11.9
13,2019-2020,1,Schalke 04,Alexander Nübel,GER,22,90.0,Away,Mönchengladbach,Draw,4,0,4,100.0,1.3,12,24,50.0,29,6,62.1,48.7,8,75.0,53.9,11,2,18.2,2,16.2
14,2019-2020,1,Eintracht Frankfurt,Kevin Trapp,GER,29,90.0,Home,Hoffenheim,Win,1,0,1,100.0,0.0,6,23,26.1,25,1,76.0,52.0,6,66.7,50.7,10,1,10.0,0,14.4
15,2019-2020,1,Hoffenheim,Oliver Baumann,GER,29,90.0,Away,Eintracht Frankfurt,Defeat,7,1,6,85.7,1.2,6,16,37.5,51,6,29.4,31.8,6,16.7,22.7,9,1,11.1,0,13.1
16,2019-2020,1,Union Berlin,Rafał Gikiewicz,POL,31,90.0,Home,RB Leipzig,Defeat,8,4,4,50.0,3.3,15,21,71.4,34,5,41.2,36.5,7,100.0,69.4,4,0,0.0,3,20.8
17,2019-2020,1,RB Leipzig,Péter Gulácsi,HUN,29,90.0,Away,Union Berlin,Win,2,0,2,100.0,0.7,8,15,53.3,39,10,25.6,30.8,7,71.4,51.7,16,0,0.0,3,15.4
18,2019-2020,2,Köln,Timo Horn,GER,26,90.0,Home,Dortmund,Defeat,6,3,3,50.0,2.2,4,12,33.3,18,1,66.7,51.9,6,0.0,15.3,4,0,0.0,0,15.3
19,2019-2020,2,Dortmund,Roman Bürki,SUI,28,90.0,Away,Köln,Win,1,1,0,0.0,0.8,2,6,33.3,37,7,10.8,26.4,5,40.0,32.2,8,0,0.0,2,19.0
20,2019-2020,2,Paderborn 07,Jannik Huth,GER,25,90.0,Home,Freiburg,Defeat,3,3,1,33.3,1.9,5,11,45.5,29,6,34.5,33.2,5,20.0,27.4,4,2,50.0,2,20.5
21,2019-2020,2,Freiburg,Alexander Schwolow,GER,27,90.0,Away,Paderborn 07,Win,2,1,1,50.0,0.6,2,24,8.3,33,6,45.5,43.3,12,75.0,63.5,8,1,12.5,0,13.0
22,2019-2020,2,Hoffenheim,Oliver Baumann,GER,29,90.0,Home,Werder Bremen,Win,5,2,3,60.0,1.9,4,12,33.3,32,4,34.4,33.5,5,20.0,29.2,6,0,0.0,2,20.2
23,2019-2020,2,Werder Bremen,Jiří Pavlenka,CZE,27,90.0,Away,Hoffenheim,Defeat,3,3,0,0.0,1.7,11,28,39.3,34,1,73.5,51.2,6,50.0,45.0,10,0,0.0,1,11.5
24,2019-2020,2,Augsburg,Tomáš Koubek,CZE,26,90.0,Home,Union Berlin,Draw,2,1,1,50.0,0.8,7,25,28.0,35,5,48.6,41.7,8,100.0,68.6,13,2,15.4,3,18.2
25,2019-2020,2,Union Berlin,Rafał Gikiewicz,POL,31,90.0,Away,Augsburg,Draw,4,1,3,75.0,1.7,12,26,46.2,36,6,47.2,44.1,13,69.2,58.5,10,2,20.0,0,12.6
26,2019-2020,2,Düsseldorf,Zack Steffen,USA,24,90.0,Home,Bayer Leverkusen,Defeat,6,3,4,50.0,2.4,13,24,54.2,22,4,63.6,44.1,12,83.3,64.8,6,0,0.0,0,9.7
