,Season,Week_No,Team,Opponent,Venue,Result,Player Name,Minute,Event,X_cord,Y_cord,xGoal,Situation,Type,Assist Player,Assist Type
0,2018-2019,1,Bayern Munich,Hoffenheim,Home,Win,Robert Lewandowski,1,BlockedShot,0.9030000305175782,0.5670000076293945,0.0751453340053558,SetPiece,RightFoot,Joshua Kimmich,Cross
1,2018-2019,1,Bayern Munich,Hoffenheim,Home,Win,David Alaba,9,BlockedShot,0.8319999694824218,0.7069999694824218,0.0262093860656023,OpenPlay,LeftFoot,Franck Ribéry,Pass
2,2018-2019,1,Bayern Munich,Hoffenheim,Home,Win,Jérôme Boateng,10,BlockedShot,0.9030000305175782,0.55,0.0943544134497642,FromCorner,RightFoot,,None
3,2018-2019,1,Bayern Munich,Hoffenheim,Home,Win,Thomas Müller,22,Goal,0.9669999694824218,0.5320000076293945,0.4878630042076111,FromCorner,Head,Joshua Kimmich,Aerial
4,2018-2019,1,Bayern Munich,Hoffenheim,Home,Win,Thiago Alcántara,30,BlockedShot,0.7719999694824219,0.4309999847412109,0.0338434465229511,OpenPlay,RightFoot,Franck Ribéry,Pass
5,2018-2019,1,Bayern Munich,Hoffenheim,Home,Win,Robert Lewandowski,31,BlockedShot,0.8119999694824219,0.4759999847412109,0.0669585838913917,OpenPlay,RightFoot,,None
6,2018-2019,1,Bayern Munich,Hoffenheim,Home,Win,Kingsley Coman,36,SavedShot,0.885,0.3670000076293945,0.3237739205360412,OpenPlay,RightFoot,Thomas Müller,TakeOn
7,2018-2019,1,Bayern Munich,Hoffenheim,Home,Win,Arjen Robben,53,MissedShots,0.8190000152587891,0.4329999923706055,0.0624594166874885,OpenPlay,LeftFoot,Javi Martínez,Pass
8,2018-2019,1,Bayern Munich,Hoffenheim,Home,Win,Robert Lewandowski,81,Goal,0.885,0.5,0.757696270942688,Penalty,RightFoot,,Standard
9,2018-2019,1,Bayern Munich,Hoffenheim,Home,Win,Leon Goretzka,86,MissedShots,0.745999984741211,0.3259999847412109,0.0192278437316417,OpenPlay,RightFoot,Thomas Müller,BallRecovery
10,2018-2019,1,Bayern Munich,Hoffenheim,Home,Win,Arjen Robben,88,MissedShots,0.87,0.590999984741211,0.1069758832454681,OpenPlay,LeftFoot,Robert Lewandowski,Pass
11,2018-2019,1,Bayern Munich,Hoffenheim,Home,Win,James Rodríguez,89,SavedShot,0.8959999847412109,0.4429999923706054,0.4201668798923492,OpenPlay,LeftFoot,Robert Lewandowski,Pass
12,2018-2019,1,Bayern Munich,Hoffenheim,Home,Win,Thiago Alcántara,89,BlockedShot,0.745,0.54,0.02824018150568,OpenPlay,RightFoot,,None
13,2018-2019,1,Bayern Munich,Hoffenheim,Home,Win,Arjen Robben,89,Goal,0.9130000305175782,0.4370000076293945,0.471535176038742,OpenPlay,LeftFoot,Thomas Müller,Pass
14,2018-2019,1,Bayern Munich,Hoffenheim,Home,Win,Robert Lewandowski,92,MissedShots,0.8040000152587891,0.4370000076293945,0.0638791695237159,OpenPlay,RightFoot,Joshua Kimmich,Pass
15,2018-2019,1,Bayern Munich,Hoffenheim,Home,Win,Robert Lewandowski,95,MissedShots,0.909000015258789,0.479000015258789,0.050505943596363,OpenPlay,Head,James Rodríguez,Pass
16,2018-2019,1,Hoffenheim,Bayern Munich,Away,Defeat,Florian Grillitsch,23,BlockedShot,0.7869999694824219,0.5659999847412109,0.0356205850839614,OpenPlay,LeftFoot,Ádám Szalai,Pass
17,2018-2019,1,Hoffenheim,Bayern Munich,Away,Defeat,Joelinton,33,MissedShots,0.9080000305175782,0.475,0.4420830309391022,OpenPlay,RightFoot,Nico Schulz,Pass
18,2018-2019,1,Hoffenheim,Bayern Munich,Away,Defeat,Florian Grillitsch,46,SavedShot,0.730999984741211,0.545,0.0151332020759582,OpenPlay,RightFoot,,None
19,2018-2019,1,Hoffenheim,Bayern Munich,Away,Defeat,Ádám Szalai,56,Goal,0.88,0.285,0.0515653192996978,OpenPlay,RightFoot,Ermin Bicakcic,TakeOn
20,2018-2019,1,Hoffenheim,Bayern Munich,Away,Defeat,Joelinton,60,BlockedShot,0.8109999847412109,0.715,0.0259703267365694,OpenPlay,RightFoot,Nico Schulz,Pass
21,2018-2019,1,Hoffenheim,Bayern Munich,Away,Defeat,Steven Zuber,60,SavedShot,0.7869999694824219,0.354000015258789,0.0269933827221393,OpenPlay,LeftFoot,Pavel Kaderábek,Pass
22,2018-2019,1,Hoffenheim,Bayern Munich,Away,Defeat,Leonardo Bittencourt,75,SavedShot,0.82,0.4520000076293945,0.0663981363177299,OpenPlay,LeftFoot,Pavel Kaderábek,Pass
23,2018-2019,1,Hoffenheim,Bayern Munich,Away,Defeat,Nico Schulz,76,SavedShot,0.8280000305175781,0.6780000305175782,0.0335102602839469,OpenPlay,LeftFoot,Steven Zuber,Pass
24,2018-2019,1,Wolfsburg,Schalke 04,Home,Win,William,21,SavedShot,0.735999984741211,0.6969999694824218,0.0414999164640903,DirectFreekick,RightFoot,,Standard
25,2018-2019,1,Wolfsburg,Schalke 04,Home,Win,William,24,MissedShots,0.7519999694824219,0.3160000038146973,0.0177598651498556,OpenPlay,RightFoot,Josuha Guilavogui,Pass
26,2018-2019,1,Wolfsburg,Schalke 04,Home,Win,Josuha Guilavogui,25,SavedShot,0.715999984741211,0.5659999847412109,0.0143734375014901,OpenPlay,RightFoot,Maximilian Arnold,BallRecovery
27,2018-2019,1,Wolfsburg,Schalke 04,Home,Win,Maximilian Arnold,29,SavedShot,0.745999984741211,0.5070000076293946,0.0218483917415142,OpenPlay,RightFoot,,BallRecovery
28,2018-2019,1,Wolfsburg,Schalke 04,Home,Win,John Brooks,32,Goal,0.953000030517578,0.5359999847412109,0.4585200250148773,FromCorner,Head,Maximilian Arnold,Cross
29,2018-2019,1,Wolfsburg,Schalke 04,Home,Win,Wout Weghorst,49,MissedShots,0.825,0.3240000152587891,0.0521407797932624,OpenPlay,RightFoot,,Dispossessed
30,2018-2019,1,Wolfsburg,Schalke 04,Home,Win,Renato Steffen,55,MissedShots,0.9180000305175782,0.575,0.0554661862552166,OpenPlay,Head,Maximilian Arnold,Aerial
31,2018-2019,1,Wolfsburg,Schalke 04,Home,Win,John Brooks,78,SavedShot,0.8340000152587891,0.4879999923706055,0.0845522359013557,OpenPlay,LeftFoot,Josip Brekalo,Pass
32,2018-2019,1,Wolfsburg,Schalke 04,Home,Win,Yannick Gerhardt,93,SavedShot,0.8580000305175781,0.5059999847412109,0.3545525670051574,OpenPlay,RightFoot,Ignacio Camacho,Throughball
33,2018-2019,1,Wolfsburg,Schalke 04,Home,Win,Daniel Ginczek,93,Goal,0.8590000152587891,0.5059999847412109,0.3246990442276001,OpenPlay,RightFoot,,Rebound
34,2018-2019,1,Schalke 04,Wolfsburg,Away,Defeat,Matija Nastasic,8,BlockedShot,0.7719999694824219,0.2979999923706055,0.0556768514215946,DirectFreekick,LeftFoot,,Standard
35,2018-2019,1,Schalke 04,Wolfsburg,Away,Defeat,Naldo,13,MissedShots,0.8980000305175782,0.6309999847412109,0.0352853648364543,SetPiece,Head,Daniel Caligiuri,Chipped
36,2018-2019,1,Schalke 04,Wolfsburg,Away,Defeat,Suat Serdar,14,BlockedShot,0.845,0.3840000152587891,0.0554032735526561,OpenPlay,RightFoot,,None
37,2018-2019,1,Schalke 04,Wolfsburg,Away,Defeat,Mark Uth,35,SavedShot,0.8819999694824219,0.4959999847412109,0.0541006699204444,OpenPlay,Head,Abdul Rahman Baba,Cross
38,2018-2019,1,Schalke 04,Wolfsburg,Away,Defeat,Suat Serdar,54,MissedShots,0.9059999847412108,0.2910000038146972,0.0428913161158561,OpenPlay,RightFoot,Daniel Caligiuri,Pass
39,2018-2019,1,Schalke 04,Wolfsburg,Away,Defeat,Naldo,79,BlockedShot,0.82,0.56,0.1625861525535583,DirectFreekick,RightFoot,,Standard
40,2018-2019,1,Schalke 04,Wolfsburg,Away,Defeat,Breel Embolo,82,SavedShot,0.911999969482422,0.5729999923706055,0.6331662535667419,OpenPlay,RightFoot,Mark Uth,Throughball
41,2018-2019,1,Schalke 04,Wolfsburg,Away,Defeat,Nabil Bentaleb,84,Goal,0.885,0.5,0.75777667760849,Penalty,LeftFoot,,Standard
42,2018-2019,1,Schalke 04,Wolfsburg,Away,Defeat,Cedric Teuchert,92,SavedShot,0.978000030517578,0.6480000305175782,0.0646514073014259,OpenPlay,LeftFoot,Weston McKennie,HeadPass
43,2018-2019,1,Fortuna Duesseldorf,Augsburg,Home,Defeat,Kevin Stöger,30,MissedShots,0.916999969482422,0.5359999847412109,0.3716940283775329,OpenPlay,LeftFoot,Alfredo Morales,Cross
44,2018-2019,1,Fortuna Duesseldorf,Augsburg,Home,Defeat,Benito Raman,33,SavedShot,0.8969999694824219,0.4029999923706054,0.3692116737365722,OpenPlay,RightFoot,Jean Zimmer,Pass
45,2018-2019,1,Fortuna Duesseldorf,Augsburg,Home,Defeat,Benito Raman,38,Goal,0.975999984741211,0.5770000076293945,0.3605311214923858,OpenPlay,Head,Matthias Zimmermann,Cross
46,2018-2019,1,Fortuna Duesseldorf,Augsburg,Home,Defeat,Kevin Stöger,43,SavedShot,0.7119999694824218,0.5840000152587891,0.0144728487357497,OpenPlay,LeftFoot,Rouwen Hennings,HeadPass
47,2018-2019,1,Fortuna Duesseldorf,Augsburg,Home,Defeat,Jean Zimmer,44,SavedShot,0.779000015258789,0.2860000038146972,0.0249023884534835,OpenPlay,RightFoot,,BallRecovery
48,2018-2019,1,Fortuna Duesseldorf,Augsburg,Home,Defeat,Jean Zimmer,46,MissedShots,0.975,0.2760000038146972,0.0534212626516819,OpenPlay,RightFoot,Kevin Stöger,Chipped
49,2018-2019,1,Fortuna Duesseldorf,Augsburg,Home,Defeat,Kaan Ayhan,62,BlockedShot,0.7480000305175781,0.4520000076293945,0.0171781182289123,FromCorner,RightFoot,,None
50,2018-2019,1,Fortuna Duesseldorf,Augsburg,Home,Defeat,Matthias Zimmermann,85,SavedShot,0.7369999694824219,0.3759999847412109,0.0142805762588977,OpenPlay,RightFoot,,None
51,2018-2019,1,Fortuna Duesseldorf,Augsburg,Home,Defeat,Kenan Karaman,87,MissedShots,0.919000015258789,0.479000015258789,0.1021377518773078,FromCorner,Head,Jean Zimmer,Cross
52,2018-2019,1,Augsburg,Fortuna Duesseldorf,Away,Win,Marco Richter,1,MissedShots,0.9259999847412108,0.2739999961853027,0.0461866706609725,OpenPlay,RightFoot,André Hahn,Pass
53,2018-2019,1,Augsburg,Fortuna Duesseldorf,Away,Win,Marco Richter,4,MissedShots,0.8780000305175781,0.625,0.0751000344753265,OpenPlay,RightFoot,Martin Hinteregger,Pass
54,2018-2019,1,Augsburg,Fortuna Duesseldorf,Away,Win,Marco Richter,9,BlockedShot,0.779000015258789,0.3470000076293945,0.0229111853986978,OpenPlay,LeftFoot,Michael Gregoritsch,Pass
