,Season,Week_No,Team,Name,Nationality,Position,Age,Minutes,Venue,Opponent,Result,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,2022-2023,1,Eintracht Frankfurt,Rafael Borré,COL,FW,26,45.0,Home,Bayern Munich,Defeat,0,0,0,0,0,0,0,0,18.0,13.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,84.6,1.0,10.0,0.0,1.0,1.0,242.0,17.0,3.0,4.0,75.0,6.0,7.0,85.7,2.0,2.0,100.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,2.0,1.0,0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,7.7,1.0,3.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11.0,7.0,0.0,13.0,100.0,1.0,1.0,27.0,3.0,1.0,0.0,2.0,1.0,25.0,12.0,48.0,1.0,0,0,1,1,0,0,0,0.0,0.0,1.0,0.0
1,2022-2023,1,Eintracht Frankfurt,Randal Kolo Muani,FRA,FW,23,45.0,Home,Bayern Munich,Defeat,1,0,0,0,2,1,0,0,16.0,9.0,1.0,0,0.0,0.5,0.5,0.0,1.0,1.0,4.0,9.0,44.4,0.0,13.0,2.0,1.0,1.0,45.0,0.0,3.0,6.0,50.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,5.0,1.0,1,0.0,0.0,0.0,0.0,6.0,1.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0,0.0,1.0,0.0,0.0,,0.0,2.0,22.2,0.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,12.0,2.0,15.0,100.0,1.0,0.0,94.0,44.0,1.0,0.0,0.0,4.0,16.0,12.0,75.0,7.0,0,0,1,0,0,0,0,2.0,1.0,1.0,50.0
2,2022-2023,1,Eintracht Frankfurt,Mario Götze,GER,AM,30,90.0,Home,Bayern Munich,Defeat,0,0,0,0,0,0,0,0,41.0,19.0,2.0,0,0.0,0.0,0.0,0.1,1.0,0.0,23.0,33.0,69.7,3.0,33.0,4.0,1.0,4.0,406.0,142.0,12.0,17.0,70.6,9.0,12.0,75.0,2.0,2.0,100.0,1.0,1.0,1.0,0.0,32.0,1.0,0.0,0.0,6.0,0.0,0,0.0,0.0,0.0,0.0,27.0,4.0,2.0,2.0,31.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,1,1.0,0.0,1.0,1.0,1.0,100.0,0.0,7.0,36.8,9.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,7.0,17.0,19.0,0.0,40.0,25.0,2.0,0.0,149.0,72.0,2.0,0.0,0.0,2.0,37.0,27.0,73.0,3.0,0,0,4,1,0,0,0,11.0,0.0,1.0,0.0
3,2022-2023,1,Eintracht Frankfurt,Jesper Lindstrøm,DEN,AM,22,45.0,Home,Bayern Munich,Defeat,0,0,0,0,1,0,0,0,13.0,5.0,0.0,0,0.0,0.5,0.5,0.0,2.0,0.0,8.0,10.0,80.0,0.0,9.0,2.0,2.0,4.0,89.0,0.0,3.0,5.0,60.0,3.0,3.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,20.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,8.0,3.0,13.0,50.0,2.0,0.0,28.0,20.0,0.0,2.0,0.0,0.0,25.0,11.0,44.0,1.0,0,0,0,0,0,0,0,2.0,1.0,1.0,50.0
4,2022-2023,1,Eintracht Frankfurt,Christopher Lenz,GER,WB,27,45.0,Home,Bayern Munich,Defeat,0,0,0,0,0,0,0,0,28.0,13.0,2.0,1,1.0,0.0,0.0,0.0,2.0,0.0,22.0,24.0,91.7,3.0,19.0,2.0,0.0,0.0,486.0,105.0,8.0,8.0,100.0,11.0,11.0,100.0,3.0,5.0,60.0,0.0,2.0,0.0,0.0,23.0,1.0,0.0,0.0,2.0,2.0,3,0.0,0.0,0.0,0.0,18.0,2.0,4.0,20.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2,0.0,2.0,0.0,1.0,1.0,100.0,0.0,8.0,61.5,6.0,4.0,3.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,7.0,14.0,8.0,1.0,27.0,,0.0,0.0,116.0,83.0,0.0,0.0,0.0,0.0,18.0,18.0,100.0,1.0,0,1,1,0,0,0,0,4.0,0.0,0.0,
5,2022-2023,1,Eintracht Frankfurt,Djibril Sow,SUI,DM,25,90.0,Home,Bayern Munich,Defeat,0,0,0,0,0,0,0,0,39.0,18.0,1.0,3,0.0,0.0,0.0,0.0,1.0,0.0,32.0,37.0,86.5,4.0,27.0,0.0,1.0,1.0,636.0,189.0,16.0,17.0,94.1,8.0,11.0,72.7,7.0,8.0,87.5,0.0,3.0,2.0,0.0,37.0,0.0,0.0,1.0,7.0,1.0,0,0.0,0.0,0.0,0.0,31.0,2.0,4.0,6.0,30.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,,0.0,7.0,38.9,7.0,10.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,12.0,21.0,8.0,0.0,39.0,100.0,1.0,0.0,165.0,60.0,1.0,0.0,0.0,0.0,27.0,27.0,100.0,0.0,0,2,0,0,0,0,0,8.0,0.0,0.0,
6,2022-2023,1,Eintracht Frankfurt,Sebastian Rode,GER,DM,31,45.0,Home,Bayern Munich,Defeat,0,0,0,0,0,0,0,0,21.0,11.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,88.2,1.0,9.0,2.0,0.0,0.0,337.0,93.0,3.0,3.0,100.0,9.0,10.0,90.0,2.0,3.0,66.7,0.0,3.0,0.0,0.0,16.0,1.0,1.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,13.0,1.0,3.0,1.0,13.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,2.0,0.0,1.0,1.0,100.0,0.0,2.0,18.2,1.0,9.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,13.0,5.0,0.0,20.0,,0.0,0.0,52.0,36.0,0.0,0.0,0.0,1.0,14.0,9.0,64.3,1.0,0,2,1,0,0,0,0,6.0,0.0,1.0,0.0
7,2022-2023,1,Eintracht Frankfurt,Kristijan Jakić,CRO,DM,25,45.0,Home,Bayern Munich,Defeat,0,0,0,0,0,0,0,0,14.0,16.0,2.0,0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,11.0,81.8,1.0,6.0,0.0,0.0,0.0,167.0,42.0,4.0,4.0,100.0,5.0,5.0,100.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,9.0,1.0,1.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.0,1.0,2.0,50.0,1.0,6.0,37.5,3.0,9.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,7.0,4.0,1.0,13.0,,0.0,0.0,14.0,12.0,0.0,0.0,0.0,0.0,9.0,8.0,88.9,0.0,0,1,1,1,0,0,0,1.0,0.0,0.0,
8,2022-2023,1,Eintracht Frankfurt,Filip Kostić,SRB,WB,29,74.0,Home,Bayern Munich,Defeat,0,0,0,0,1,0,1,0,47.0,17.0,2.0,2,0.0,0.0,0.0,0.1,1.0,0.0,24.0,39.0,61.5,5.0,26.0,1.0,1.0,1.0,480.0,278.0,10.0,12.0,83.3,10.0,13.0,76.9,4.0,14.0,28.6,1.0,2.0,1.0,0.0,26.0,13.0,2.0,0.0,6.0,3.0,4,5.0,3.0,2.0,0.0,19.0,10.0,10.0,30.0,3.0,0.0,6.0,0.0,1.0,1.0,2.0,1.0,1,1.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,11.8,7.0,8.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,10.0,21.0,21.0,3.0,34.0,100.0,1.0,0.0,146.0,58.0,0.0,0.0,0.0,2.0,29.0,25.0,86.2,0.0,0,1,1,0,0,0,0,4.0,0.0,0.0,
9,2022-2023,1,Eintracht Frankfurt,Faride Alidou,GER,RW,21,16.0,Home,Bayern Munich,Defeat,0,0,0,0,0,0,0,0,5.0,4.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,0.0,4.0,1.0,0.0,0.0,44.0,11.0,3.0,3.0,100.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,25.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,,0.0,0.0,29.0,6.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,0.0,0,0,1,0,0,0,0,0.0,0.0,0.0,
