,Season,Week_No,Team,Opponent,Venue,Result,Player Name,Minute,Event,X_cord,Y_cord,xGoal,Situation,Type,Assist Player,Assist Type
0,2022-2023,1,Eintracht Frankfurt,Bayern Munich,Home,Defeat,Tuta,11,ShotOnPost,0.9669999694824218,0.5329999923706055,0.0910416841506958,FromCorner,Head,Filip Kostic,Aerial
1,2022-2023,1,Eintracht Frankfurt,Bayern Munich,Home,Defeat,Ansgar Knauff,11,MissedShots,0.745999984741211,0.4620000076293945,0.0237492434680461,FromCorner,LeftFoot,,Rebound
2,2022-2023,1,Eintracht Frankfurt,Bayern Munich,Home,Defeat,Jesper Lindstrom,25,MissedShots,0.875999984741211,0.3970000076293945,0.2980797588825226,OpenPlay,RightFoot,,TakeOn
3,2022-2023,1,Eintracht Frankfurt,Bayern Munich,Home,Defeat,Filip Kostic,33,BlockedShot,0.845,0.7419999694824219,0.0176219660788774,OpenPlay,LeftFoot,,None
4,2022-2023,1,Eintracht Frankfurt,Bayern Munich,Home,Defeat,Ansgar Knauff,61,SavedShot,0.7680000305175781,0.265,0.0126974247395992,OpenPlay,RightFoot,Kristijan Jakic,Pass
5,2022-2023,1,Eintracht Frankfurt,Bayern Munich,Home,Defeat,Randal Kolo Muani,63,Goal,0.7909999847412109,0.355,0.2121708691120147,OpenPlay,RightFoot,,None
6,2022-2023,1,Eintracht Frankfurt,Bayern Munich,Home,Defeat,Ansgar Knauff,68,MissedShots,0.953000030517578,0.2960000038146972,0.0466999560594558,OpenPlay,RightFoot,Mario Götze,Pass
7,2022-2023,1,Eintracht Frankfurt,Bayern Munich,Home,Defeat,Randal Kolo Muani,76,MissedShots,0.8730000305175781,0.4490000152587891,0.0562775060534477,OpenPlay,RightFoot,Ansgar Knauff,Cross
8,2022-2023,1,Bayern Munich,Eintracht Frankfurt,Away,Win,Sadio Mané,1,MissedShots,0.8930000305175781,0.4570000076293945,0.0495192892849445,FromCorner,Head,Joshua Kimmich,Cross
9,2022-2023,1,Bayern Munich,Eintracht Frankfurt,Away,Win,Joshua Kimmich,4,Goal,0.720999984741211,0.225,0.0298612639307975,DirectFreekick,RightFoot,,Standard
10,2022-2023,1,Bayern Munich,Eintracht Frankfurt,Away,Win,Serge Gnabry,6,BlockedShot,0.815,0.3920000076293945,0.0584637001156806,OpenPlay,LeftFoot,Jamal Musiala,Pass
11,2022-2023,1,Bayern Munich,Eintracht Frankfurt,Away,Win,Serge Gnabry,7,MissedShots,0.7430000305175781,0.59,0.0278723631054162,OpenPlay,RightFoot,Jamal Musiala,Pass
12,2022-2023,1,Bayern Munich,Eintracht Frankfurt,Away,Win,Thomas Müller,8,BlockedShot,0.89,0.4270000076293945,0.1277058124542236,OpenPlay,LeftFoot,Dayotchanculle Upamecano,Pass
13,2022-2023,1,Bayern Munich,Eintracht Frankfurt,Away,Win,Thomas Müller,9,BlockedShot,0.925,0.479000015258789,0.1038269847631454,FromCorner,RightFoot,Lucas Hernández,BallTouch
14,2022-2023,1,Bayern Munich,Eintracht Frankfurt,Away,Win,Benjamin Pavard,9,Goal,0.914000015258789,0.3859999847412109,0.0880438610911369,FromCorner,RightFoot,,Rebound
15,2022-2023,1,Bayern Munich,Eintracht Frankfurt,Away,Win,Jamal Musiala,14,MissedShots,0.9340000152587892,0.669000015258789,0.0751369819045066,OpenPlay,LeftFoot,,None
16,2022-2023,1,Bayern Munich,Eintracht Frankfurt,Away,Win,Marcel Sabitzer,15,BlockedShot,0.936999969482422,0.6509999847412109,0.1197800487279892,OpenPlay,LeftFoot,Sadio Mané,Pass
17,2022-2023,1,Bayern Munich,Eintracht Frankfurt,Away,Win,Thomas Müller,22,ShotOnPost,0.938000030517578,0.4420000076293945,0.6150208115577698,OpenPlay,LeftFoot,Serge Gnabry,Pass
18,2022-2023,1,Bayern Munich,Eintracht Frankfurt,Away,Win,Jamal Musiala,26,SavedShot,0.7319999694824219,0.524000015258789,0.0313557013869285,OpenPlay,RightFoot,Serge Gnabry,Pass
19,2022-2023,1,Bayern Munich,Eintracht Frankfurt,Away,Win,Sadio Mané,28,Goal,0.915,0.5259999847412109,0.4057143628597259,OpenPlay,Head,Serge Gnabry,Chipped
20,2022-2023,1,Bayern Munich,Eintracht Frankfurt,Away,Win,Jamal Musiala,32,SavedShot,0.7,0.4629999923706054,0.0219545569270849,OpenPlay,RightFoot,Joshua Kimmich,Pass
21,2022-2023,1,Bayern Munich,Eintracht Frankfurt,Away,Win,Sadio Mané,32,BlockedShot,0.9059999847412108,0.565,0.5453680157661438,OpenPlay,LeftFoot,Thomas Müller,Throughball
22,2022-2023,1,Bayern Munich,Eintracht Frankfurt,Away,Win,Sadio Mané,32,ShotOnPost,0.953000030517578,0.6229999923706054,0.3689785301685333,OpenPlay,LeftFoot,,Rebound
23,2022-2023,1,Bayern Munich,Eintracht Frankfurt,Away,Win,Jamal Musiala,34,Goal,0.9619999694824218,0.4670000076293945,0.7526881694793701,OpenPlay,RightFoot,Thomas Müller,Pass
24,2022-2023,1,Bayern Munich,Eintracht Frankfurt,Away,Win,Serge Gnabry,42,Goal,0.921999969482422,0.38,0.3375700116157532,OpenPlay,RightFoot,Thomas Müller,Pass
25,2022-2023,1,Bayern Munich,Eintracht Frankfurt,Away,Win,Sadio Mané,73,SavedShot,0.9669999694824218,0.3390000152587891,0.3636021018028259,OpenPlay,RightFoot,,None
26,2022-2023,1,Bayern Munich,Eintracht Frankfurt,Away,Win,Joshua Kimmich,80,SavedShot,0.7630000305175781,0.6790000152587891,0.0190512724220752,OpenPlay,RightFoot,Mathys Tel,Pass
27,2022-2023,1,Bayern Munich,Eintracht Frankfurt,Away,Win,Ryan Gravenberch,81,BlockedShot,0.805,0.4870000076293945,0.0764790847897529,OpenPlay,RightFoot,Mathys Tel,Pass
28,2022-2023,1,Bayern Munich,Eintracht Frankfurt,Away,Win,Noussair Mazraoui,81,MissedShots,0.775,0.4070000076293945,0.0204682108014822,OpenPlay,RightFoot,,Rebound
29,2022-2023,1,Bayern Munich,Eintracht Frankfurt,Away,Win,Jamal Musiala,82,Goal,0.909000015258789,0.48,0.5177093744277954,OpenPlay,LeftFoot,Leroy Sané,Pass
30,2022-2023,1,Bayern Munich,Eintracht Frankfurt,Away,Win,Leroy Sané,86,BlockedShot,0.7619999694824219,0.7119999694824218,0.0159982908517122,OpenPlay,LeftFoot,,None
31,2022-2023,1,Union Berlin,Hertha Berlin,Home,Win,Rani Khedira,0,BlockedShot,0.855,0.484000015258789,0.0980624556541442,OpenPlay,RightFoot,Janik Haberer,Pass
32,2022-2023,1,Union Berlin,Hertha Berlin,Home,Win,Rani Khedira,0,MissedShots,0.845999984741211,0.3770000076293945,0.0545509606599807,OpenPlay,RightFoot,Genki Haraguchi,Pass
33,2022-2023,1,Union Berlin,Hertha Berlin,Home,Win,Jordan Siebatcheu,13,BlockedShot,0.933000030517578,0.7190000152587891,0.0374733172357082,OpenPlay,LeftFoot,Julian Ryerson,Pass
34,2022-2023,1,Union Berlin,Hertha Berlin,Home,Win,Julian Ryerson,18,MissedShots,0.705,0.659000015258789,0.0118836658075451,OpenPlay,RightFoot,Jordan Siebatcheu,Pass
35,2022-2023,1,Union Berlin,Hertha Berlin,Home,Win,Julian Ryerson,20,BlockedShot,0.7340000152587891,0.5970000076293945,0.0113138994202017,SetPiece,RightFoot,,None
36,2022-2023,1,Union Berlin,Hertha Berlin,Home,Win,Julian Ryerson,26,SavedShot,0.7909999847412109,0.7080000305175781,0.0195730905979871,OpenPlay,RightFoot,Robin Knoche,Chipped
37,2022-2023,1,Union Berlin,Hertha Berlin,Home,Win,Genki Haraguchi,28,BlockedShot,0.8980000305175782,0.695,0.0484478026628494,OpenPlay,RightFoot,Rani Khedira,Pass
38,2022-2023,1,Union Berlin,Hertha Berlin,Home,Win,Christopher Trimmel,28,SavedShot,0.9080000305175782,0.3729999923706055,0.0268821883946657,OpenPlay,Head,Janik Haberer,Cross
