,Season,Week_No,Team,Opponent,Venue,Distance_Covered,Sprints
0,2022-2023,1,Eintracht Frankfurt,FC Bayern München,Home,113.9,252.0
1,2022-2023,1,FC Bayern München,Eintracht Frankfurt,Away,116.4,276.0
2,2022-2023,1,FC Augsburg,SC Freiburg,Home,108.4,199.0
3,2022-2023,1,SC Freiburg,FC Augsburg,Away,111.7,191.0
4,2022-2023,1,VfL Bochum 1848,1. FSV Mainz 05,Home,113.2,191.0
5,2022-2023,1,1. FSV Mainz 05,VfL Bochum 1848,Away,117.2,192.0
6,2022-2023,1,VfL Wolfsburg,SV Werder Bremen,Home,110.2,260.0
7,2022-2023,1,SV Werder Bremen,VfL Wolfsburg,Away,111.9,192.0
8,2022-2023,1,Borussia M'gladbach,TSG Hoffenheim,Home,108.6,185.0
9,2022-2023,1,TSG Hoffenheim,Borussia M'gladbach,Away,105.0,181.0
10,2022-2023,1,1. FC Union Berlin,Hertha Berlin,Home,112.8,226.0
11,2022-2023,1,Hertha Berlin,1. FC Union Berlin,Away,107.8,203.0
12,2022-2023,1,Borussia Dortmund,Bayer 04 Leverkusen,Home,114.6,224.0
13,2022-2023,1,Bayer 04 Leverkusen,Borussia Dortmund,Away,111.9,226.0
14,2022-2023,1,VfB Stuttgart,RB Leipzig,Home,114.0,230.0
15,2022-2023,1,RB Leipzig,VfB Stuttgart,Away,112.0,220.0
16,2022-2023,1,1. FC Köln,FC Schalke 04,Home,117.5,207.0
17,2022-2023,1,FC Schalke 04,1. FC Köln,Away,110.9,202.0
18,2022-2023,1,Eintracht Frankfurt,FC Bayern München,Home,113.9,252.0
19,2022-2023,1,FC Bayern München,Eintracht Frankfurt,Away,116.4,276.0
20,2022-2023,1,FC Augsburg,SC Freiburg,Home,108.4,199.0
21,2022-2023,1,SC Freiburg,FC Augsburg,Away,111.7,191.0
22,2022-2023,1,VfL Bochum 1848,1. FSV Mainz 05,Home,113.2,191.0
23,2022-2023,1,1. FSV Mainz 05,VfL Bochum 1848,Away,117.2,192.0
24,2022-2023,1,VfL Wolfsburg,SV Werder Bremen,Home,110.2,260.0
25,2022-2023,1,SV Werder Bremen,VfL Wolfsburg,Away,111.9,192.0
26,2022-2023,1,Borussia M'gladbach,TSG Hoffenheim,Home,108.6,185.0
27,2022-2023,1,TSG Hoffenheim,Borussia M'gladbach,Away,105.0,181.0
28,2022-2023,1,1. FC Union Berlin,Hertha Berlin,Home,112.8,226.0
29,2022-2023,1,Hertha Berlin,1. FC Union Berlin,Away,107.8,203.0
30,2022-2023,1,Borussia Dortmund,Bayer 04 Leverkusen,Home,114.6,224.0
31,2022-2023,1,Bayer 04 Leverkusen,Borussia Dortmund,Away,111.9,226.0
32,2022-2023,1,VfB Stuttgart,RB Leipzig,Home,114.0,230.0
33,2022-2023,1,RB Leipzig,VfB Stuttgart,Away,112.0,220.0
34,2022-2023,1,1. FC Köln,FC Schalke 04,Home,117.5,207.0
35,2022-2023,1,FC Schalke 04,1. FC Köln,Away,110.9,202.0
36,2022-2023,1,Eintracht Frankfurt,FC Bayern München,Home,113.9,252.0
37,2022-2023,1,FC Bayern München,Eintracht Frankfurt,Away,116.4,276.0
38,2022-2023,1,FC Augsburg,SC Freiburg,Home,108.4,199.0
39,2022-2023,1,SC Freiburg,FC Augsburg,Away,111.7,191.0
40,2022-2023,1,VfL Bochum 1848,1. FSV Mainz 05,Home,113.2,191.0
41,2022-2023,1,1. FSV Mainz 05,VfL Bochum 1848,Away,117.2,192.0
42,2022-2023,1,VfL Wolfsburg,SV Werder Bremen,Home,110.2,260.0
43,2022-2023,1,SV Werder Bremen,VfL Wolfsburg,Away,111.9,192.0
44,2022-2023,1,Borussia M'gladbach,TSG Hoffenheim,Home,108.6,185.0
45,2022-2023,1,TSG Hoffenheim,Borussia M'gladbach,Away,105.0,181.0
46,2022-2023,1,1. FC Union Berlin,Hertha Berlin,Home,112.8,226.0
47,2022-2023,1,Hertha Berlin,1. FC Union Berlin,Away,107.8,203.0
48,2022-2023,1,Borussia Dortmund,Bayer 04 Leverkusen,Home,114.6,224.0
49,2022-2023,1,Bayer 04 Leverkusen,Borussia Dortmund,Away,111.9,226.0
50,2022-2023,1,VfB Stuttgart,RB Leipzig,Home,114.0,230.0
51,2022-2023,1,RB Leipzig,VfB Stuttgart,Away,112.0,220.0
52,2022-2023,1,1. FC Köln,FC Schalke 04,Home,117.5,207.0
53,2022-2023,1,FC Schalke 04,1. FC Köln,Away,110.9,202.0
